City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
104,Umm Lajj,SA,25.0213,37.2685,78.31,63,0,14.45,clear sky
105,Vanavara,RU,60.34,102.2797,37.11,77,63,8.23,broken clouds
106,Faya,SA,18.3851,42.4509,59.52,25,39,6.98,scattered clouds
107,Coos Bay,US,43.3665,-124.2179,51.01,99,40,4.61,scattered clouds
108,Kapaa,US,22.0752,-159.319,80.58,83,75,16.11,light rain
109,Kalanguy,RU,51.0167,116.5167,33.28,58,8,4.79,clear sky
110,Saint Anthony,US,45.0205,-93.218,63.93,50,1,1.01,clear sky
111,Portland,US,45.5234,-122.6762,53.46,86,20,1.99,few clouds
112,Hermanus,ZA,-34.4187,19.2345,52.9,80,0,11.77,clear sky
113,Khasan,RU,42.4308,130.6434,44.69,37,9,15.99,clear sky
114,Lerwick,GB,60.1545,-1.1494,53.6,90,87,14.63,overcast clouds
115,Bubaque,GW,11.2833,-15.8333,82.74,75,45,11.45,scattered clouds
116,Mar Del Plata,AR,-38.0023,-57.5575,50.88,21,0,8.01,clear sky
117,Tasiilaq,GL,65.6145,-37.6368,30.36,54,5,3.67,clear sky
118,Tuatapere,NZ,-46.1333,167.6833,47.89,60,92,15.41,light rain
119,Nishihara,JP,26.1842,127.7558,78.08,81,75,14.97,broken clouds
120,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,10.36,scattered clouds
121,Chuy,UY,-33.6971,-53.4616,52.52,84,0,4.5,clear sky
122,Port Alfred,ZA,-33.5906,26.891,55.29,73,1,8.28,clear sky
123,Westport,US,41.1415,-73.3579,51.76,85,1,5.99,clear sky
124,Port Macquarie,AU,-31.4333,152.9167,77.9,64,22,12.44,few clouds
125,Bethel,US,41.3712,-73.414,49.05,87,20,1.01,few clouds
126,Ribeira Grande,PT,38.5167,-28.7,68.54,73,16,17.76,few clouds
127,Sao Joao Da Barra,BR,-21.6403,-41.0511,69.76,96,100,10.83,overcast clouds
128,Terrace,CA,54.5163,-128.6035,41.0,82,100,1.3,overcast clouds
129,Ilulissat,GL,69.2167,-51.1,33.82,25,43,12.66,scattered clouds
130,Rezina,MD,47.7492,28.9622,46.89,70,98,10.25,overcast clouds
131,Thompson,CA,55.7435,-97.8558,35.29,93,100,12.84,overcast clouds
132,Avarua,CK,-21.2078,-159.775,77.05,61,40,5.75,scattered clouds
133,Wabrzezno,PL,53.2799,18.9477,49.1,95,100,5.91,overcast clouds
134,Korem,ET,12.5058,39.5228,54.34,61,25,1.92,scattered clouds
135,Santa Cruz,BO,-17.8,-63.1667,71.06,78,90,5.75,overcast clouds
136,Diamantino,BR,-14.4086,-56.4461,70.66,99,98,2.62,overcast clouds
137,Sharan,RU,54.8167,54.0,45.7,85,100,6.58,overcast clouds
138,New Norfolk,AU,-42.7826,147.0587,58.66,41,94,1.99,overcast clouds
139,Geraldton,AU,-28.7667,114.6,70.21,52,40,27.63,scattered clouds
140,Turbat,PK,26.0023,63.044,84.42,5,0,6.6,clear sky
141,Shaowu,CN,27.3409,117.4831,62.31,86,100,2.77,overcast clouds
