City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
161,Faanui,PF,80.37,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
163,Gokul,IN,76.26,clear sky,27.45,77.7167,OYO 12065 Hotel Raj Palace
175,Yeppoon,AU,87.58,clear sky,-23.1333,150.7333,Villa Mar Colina
180,Jacqueville,CI,80.51,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
192,Kroya,ID,85.73,broken clouds,-7.6331,109.2461,RUSTANTO Fam
194,Sur,OM,86.43,clear sky,22.5667,59.5289,Sur Plaza Hotel
199,Cururupu,BR,75.36,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
200,Acapulco,MX,79.7,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
201,Cam Ranh,VN,87.76,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
210,Bambous Virieux,MU,76.21,overcast clouds,-20.3428,57.7575,Casa Tia Villa
216,Denpasar,ID,87.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
217,Gigmoto,PH,83.71,moderate rain,13.7796,124.39,Cj's Travellers Inn
218,Sampit,ID,84.24,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
226,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
228,Wajir,KE,76.77,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
234,Sukabumi,ID,84.61,overcast clouds,-6.9181,106.9267,MaxoneHotels.Com @ Bounty Sukabumi
241,Jega,NG,77.67,light rain,12.2175,4.3792,ALH. Nasiru Ibrahim
246,Kudahuvadhoo,MV,82.98,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
247,Ishigaki,JP,78.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
252,Passo De Camaragibe,BR,78.35,scattered clouds,-9.2368,-35.4901,Chácara vovó candinha
253,Sao Filipe,CV,79.74,clear sky,14.8961,-24.4956,Hotel Xaguate
255,Akyab,MM,83.79,scattered clouds,20.15,92.9,Hotel Memory
262,Tual,ID,84.56,broken clouds,-5.6667,132.75,Grand Vilia Hotel
265,Dosso,NE,80.47,overcast clouds,13.049,3.1937,Hotel Toubal
268,Yen Bai,VN,78.24,overcast clouds,21.7,104.8667,AK MOTEL
271,Batticaloa,LK,85.44,broken clouds,7.7102,81.6924,Grand Star Guest House
274,Grand Gaube,MU,76.37,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
281,Mandera,KE,78.51,overcast clouds,3.9366,41.867,Kornesh Hotel and Lodging
284,Esperance,AU,76.23,overcast clouds,-33.8667,121.9,Hospitality Esperance
289,Marawi,PH,77.65,broken clouds,7.9986,124.2928,Derogongan Residence
296,Carutapera,BR,77.7,few clouds,-1.195,-46.02,Lidera
303,Lakatoro,VU,79.52,heavy intensity rain,-16.0999,167.4164,Lakatoro Palm Lodge
304,Ciudad Bolivar,VE,80.4,scattered clouds,8.1222,-63.5497,Hotel Edi
307,Kavaratti,IN,81.77,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
308,Sao Jose Da Coroa Grande,BR,76.12,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
310,Salinopolis,BR,79.66,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
316,Meulaboh,ID,85.05,broken clouds,4.1363,96.1285,Kost Pria
