City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
46,Tilichiki,RU,2021-10-12 22:31:04,60.4667,166.1,24.42,52,89,4.23
47,Saint George,US,2021-10-12 22:30:46,37.1041,-113.5841,56.62,47,90,4.0
48,Belmonte,BR,2021-10-12 22:31:04,-15.8631,-38.8828,72.1,90,98,9.89
49,San Patricio,US,2021-10-12 22:31:04,28.017,-97.5169,90.28,69,33,19.37
50,Fougamou,GA,2021-10-12 22:31:05,-1.2154,10.5838,74.57,99,95,1.66
51,Genhe,CN,2021-10-12 22:31:05,50.7833,121.5167,39.06,69,100,3.2
52,Kanzaki,JP,2021-10-12 22:27:40,33.3,130.3667,76.05,72,75,3.44
53,Longyearbyen,SJ,2021-10-12 22:31:06,78.2186,15.6401,28.24,86,75,5.75
54,Cap Malheureux,MU,2021-10-12 22:31:06,-19.9842,57.6142,72.09,88,4,3.0
55,Limache,CL,2021-10-12 22:31:07,-33.0167,-71.2667,66.43,83,61,4.63
56,Butaritari,KI,2021-10-12 22:31:07,3.0707,172.7902,81.55,68,37,7.31
57,Tasiilaq,GL,2021-10-12 22:31:08,65.6145,-37.6368,32.16,56,0,1.9
58,Severo-Kurilsk,RU,2021-10-12 22:31:08,50.6789,156.125,46.8,79,23,16.24
59,Iqaluit,CA,2021-10-12 22:31:09,63.7506,-68.5145,35.33,93,75,23.0
60,Sao Francisco,BR,2021-10-12 22:31:09,-15.9486,-44.8644,75.07,79,52,4.54
61,Tiksi,RU,2021-10-12 22:31:09,71.6872,128.8694,18.9,92,97,10.38
62,Dargaville,NZ,2021-10-12 22:26:41,-35.9333,173.8833,57.65,52,65,14.38
63,Umm Kaddadah,SD,2021-10-12 22:31:10,13.6017,26.6876,84.06,51,99,8.72
64,Raga,SS,2021-10-12 22:31:10,8.4596,25.678,69.48,96,100,1.77
65,Castro,BR,2021-10-12 22:31:10,-24.7911,-50.0119,59.5,86,35,4.23
66,Wajima,JP,2021-10-12 22:31:11,37.4,136.9,64.94,80,90,6.02
67,Lokosovo,RU,2021-10-12 22:31:11,61.1333,74.8167,30.47,89,100,6.85
68,Sola,VU,2021-10-12 22:31:11,-13.8833,167.55,80.49,79,33,13.78
69,Wlodawa,PL,2021-10-12 22:31:12,51.55,23.55,39.51,84,48,4.54
70,Punta Arenas,CL,2021-10-12 22:31:12,-53.15,-70.9167,55.51,38,90,13.8
71,Vladimir,RU,2021-10-12 22:31:12,56.1366,40.3966,43.07,68,99,5.84
72,Avera,US,2021-10-12 22:31:13,33.194,-82.5271,78.67,66,0,3.78
73,Saldanha,ZA,2021-10-12 22:31:13,-33.0117,17.9442,60.85,96,100,9.1
74,Jamestown,US,2021-10-12 22:28:34,42.097,-79.2353,72.99,73,90,6.91
75,Saint-Gaudens,FR,2021-10-12 22:31:14,43.0833,0.6667,50.32,73,69,4.85
76,Nicoya,CR,2021-10-12 22:31:14,10.1483,-85.452,81.95,87,93,2.17
77,Esperance,AU,2021-10-12 22:31:14,-33.8667,121.9,53.44,69,79,22.66
78,Praia Da Vitoria,PT,2021-10-12 22:31:15,38.7333,-27.0667,70.05,88,20,1.32
79,Matagami,CA,2021-10-12 22:29:17,49.7502,-77.6328,62.71,100,90,2.3
80,Bredasdorp,ZA,2021-10-12 22:27:51,-34.5322,20.0403,62.28,94,100,4.61
81,Resavica,RS,2021-10-12 22:31:15,44.0408,21.5816,42.64,98,100,1.77
82,Lasa,IT,2021-10-12 22:31:16,46.6166,10.7002,45.48,93,81,5.93
83,Bonnyville,CA,2021-10-12 22:31:16,54.2668,-110.735,48.0,34,2,12.8
84,Ostrovnoy,RU,2021-10-12 22:31:16,68.0531,39.5131,43.63,87,98,18.63
85,Eufaula,US,2021-10-12 22:27:49,31.8913,-85.1455,84.09,71,37,4.29
86,Katsuura,JP,2021-10-12 22:31:17,35.1333,140.3,66.18,89,100,20.07
87,Egvekinot,RU,2021-10-12 22:31:17,66.3167,-179.1667,19.74,83,100,13.0
88,Kapaa,US,2021-10-12 22:31:18,22.0752,-159.319,84.18,81,90,5.99
89,Sao Domingos,BR,2021-10-12 22:31:18,-13.3983,-46.3183,77.29,60,75,1.32
90,Husavik,IS,2021-10-12 22:31:18,66.0449,-17.3389,33.71,95,100,4.9
91,Qaanaaq,GL,2021-10-12 22:31:19,77.484,-69.3632,27.81,95,98,6.78
92,Souillac,MU,2021-10-12 22:31:19,-20.5167,57.5167,71.98,94,40,0.0
93,Banjar,ID,2021-10-12 22:31:19,-8.19,114.9675,73.26,79,84,5.88
94,Vaini,TO,2021-10-12 22:31:20,-21.2,-175.2,75.36,73,75,5.75
